month,year,day,time,temperature,,,,,,,,,
February,2019,3,4:54 AM,55  F,,,,,,,,,
February,2019,3,5:54 AM,58  F,,,,,,,,,
February,2019,3,6:54 AM,60  F,,,,,,,,,
February,2019,3,7:54 AM,63  F,,,,,,,,,
February,2019,3,8:54 AM,65  F,,,,,,,,,
February,2019,3,9:54 AM,67  F,,,,,,,,,
February,2019,3,10:54 AM,66  F,,,,,,,,,
February,2019,3,11:54 AM,63  F,,,,,,,,,
February,2019,3,12:54 PM,61  F,,,,,,,,,
February,2019,3,1:54 PM,59  F,,,,,,,,,
February,2019,3,2:54 PM,59  F,,,,,,,,,
February,2019,3,3:54 PM,57  F,,,,,,,,,
February,2019,3,4:54 PM,57  F,,,,,,,,,
February,2019,3,5:54 PM,57  F,,,,,,,,,
February,2019,3,6:54 PM,58  F,,,,,,,,,
February,2019,3,7:54 PM,57  F,,,,,,,,,
February,2019,3,8:54 PM,57  F,,,,,,,,,
February,2019,3,9:32 PM,57  F,,,,,,,,,
February,2019,3,9:54 PM,57  F,,,,,,,,,
February,2019,3,10:54 PM,57  F,,,,,,,,,
February,2019,3,11:54 PM,57  F,,,,,,,,,
February,2019,4,12:54 AM,56  F,,,,,,,,,
February,2019,4,1:11 AM,56  F,,,,,,,,,
February,2019,4,1:54 AM,56  F,,,,,,,,,
February,2019,4,2:54 AM,56  F,,,,,,,,,
February,2019,4,3:54 AM,60  F,,,,,,,,,
February,2019,4,4:54 AM,60  F,,,,,,,,,
February,2019,4,5:45 AM,62  F,,,,,,,,,
February,2019,4,5:54 AM,60  F,,,,,,,,,
February,2019,4,6:08 AM,54  F,,,,,,,,,
February,2019,4,6:54 AM,41  F,,,,,,,,,
February,2019,4,7:01 AM,41  F,,,,,,,,,
February,2019,4,7:54 AM,39  F,,,,,,,,,
February,2019,4,8:54 AM,38  F,,,,,,,,,
February,2019,4,9:19 AM,38  F,,,,,,,,,
February,2019,4,9:54 AM,36  F,,,,,,,,,
February,2019,4,10:11 AM,36  F,,,,,,,,,
February,2019,4,10:54 AM,34  F,,,,,,,,,
February,2019,4,11:54 AM,33  F,,,,,,,,,
February,2019,4,12:54 PM,32  F,,,,,,,,,
February,2019,4,1:54 PM,32  F,,,,,,,,,
February,2019,4,2:54 PM,31  F,,,,,,,,,
February,2019,4,3:54 PM,30  F,,,,,,,,,
February,2019,4,4:54 PM,29  F,,,,,,,,,
February,2019,4,5:54 PM,28  F,,,,,,,,,
February,2019,4,6:10 PM,28  F,,,,,,,,,
February,2019,4,6:54 PM,28  F,,,,,,,,,
February,2019,4,7:54 PM,27  F,,,,,,,,,
